image_id,nutrient,quantity,column,dx,dy,deviation,method,image_mean_dev,gt_image_mean
4.png,saturated fats,56,0,305.5,109.5,1.4141,mahalanobis,1.3109640287769784,1
4.png,saturated fats,6.7,0,304.5,163.0,1.4192,mahalanobis,1.3109640287769784,1
4.png,saturated fats,0.12,0,339.0,276.5,1.84,mahalanobis,1.3109640287769784,1
4.png,de las cuales dontacides waarvan heraf maettede davon gesattigte,0,0,2914.0,38.5,1.0902,mahalanobis,1.3109640287769784,0
4.png,de las cuales dontacides waarvan heraf maettede davon gesattigte,56,0,2936.5,98.5,0.786,mahalanobis,1.3109640287769784,0
4.png,de las cuales dontacides waarvan heraf maettede davon gesattigte,6.7,0,2935.5,152.0,0.7352,mahalanobis,1.3109640287769784,0
4.png,de las cuales dontacides waarvan heraf maettede davon gesattigte,0.12,0,2970.0,265.5,1.3573,mahalanobis,1.3109640287769784,1
4.png,saturated fats,0,0,278.5,-2.0,1.8482,mahalanobis,1.3109640287769784,1
4.png,saturated fats,56,0,301.0,58.0,1.5504,mahalanobis,1.3109640287769784,1
4.png,saturated fats,6.7,0,300.0,111.5,1.4159,mahalanobis,1.3109640287769784,1
4.png,saturated fats,0.12,0,334.5,225.0,1.5807,mahalanobis,1.3109640287769784,1
4.png,saturated fats,0,0,1562.5,-15.0,1.3531,mahalanobis,1.3109640287769784,1
4.png,saturated fats,56,0,1585.0,45.0,0.8597,mahalanobis,1.3109640287769784,0
4.png,saturated fats,6.7,0,1584.0,98.5,0.4837,mahalanobis,1.3109640287769784,0
4.png,saturated fats,0.12,0,1618.5,212.0,0.7509,mahalanobis,1.3109640287769784,0
4.png,saturated fats,0,0,2863.0,-19.0,1.487,mahalanobis,1.3109640287769784,1
4.png,saturated fats,56,0,2885.5,41.0,1.0588,mahalanobis,1.3109640287769784,0
4.png,saturated fats,6.7,0,2884.5,94.5,0.763,mahalanobis,1.3109640287769784,0
4.png,saturated fats,0.12,0,2919.0,208.0,0.9498,mahalanobis,1.3109640287769784,0
4.png,fettsauren,0,0,3932.5,-34.5,2.1135,mahalanobis,1.3109640287769784,1
4.png,fettsauren,56,0,3955.0,25.5,1.8079,mahalanobis,1.3109640287769784,1
4.png,fettsauren,6.7,0,3954.0,79.0,1.6136,mahalanobis,1.3109640287769784,1
4.png,fettsauren,0.12,0,3988.5,192.5,1.6454,mahalanobis,1.3109640287769784,1
4.png,carbohydrate,56,0,248.0,0.5,1.8535,mahalanobis,1.3109640287769784,1
4.png,carbohydrate,6.7,0,247.0,54.0,1.6046,mahalanobis,1.3109640287769784,1
4.png,carbohydrate,0.12,0,281.5,167.5,1.4446,mahalanobis,1.3109640287769784,1
4.png,carbohydrate,56,0,713.0,-2.0,1.5956,mahalanobis,1.3109640287769784,1
4.png,carbohydrate,6.7,0,712.0,51.5,1.2902,mahalanobis,1.3109640287769784,0
4.png,carbohydrate,0.12,0,746.5,165.0,1.0746,mahalanobis,1.3109640287769784,0
4.png,carbohydrate,56,0,2510.5,-16.5,1.3634,mahalanobis,1.3109640287769784,1
4.png,carbohydrate,6.7,0,2509.5,37.0,0.9267,mahalanobis,1.3109640287769784,0
4.png,carbohydrate,0.12,0,2544.0,150.5,0.4272,mahalanobis,1.3109640287769784,0
4.png,carbohydrate,56,0,2945.5,-17.0,1.5025,mahalanobis,1.3109640287769784,1
4.png,carbohydrate,6.7,0,2944.5,36.5,1.1193,mahalanobis,1.3109640287769784,0
4.png,carbohydrate,0.12,0,2979.0,150.0,0.7664,mahalanobis,1.3109640287769784,0
4.png,carbohydrate,56,0,3895.5,-34.0,2.0891,mahalanobis,1.3109640287769784,1
4.png,carbohydrate,6.7,0,3894.5,19.5,1.7949,mahalanobis,1.3109640287769784,1
4.png,carbohydrate,0.12,0,3929.0,133.0,1.5196,mahalanobis,1.3109640287769784,1
4.png,sugars,6.7,0,698.5,0.5,1.5875,mahalanobis,1.3109640287769784,1
4.png,sugars,0.12,0,733.0,114.0,1.0682,mahalanobis,1.3109640287769784,0
4.png,dos quais acucares joista sokeretta deloscualesazucares dont sucres waarvan suikers,6.7,0,2213.5,-4.0,1.2098,mahalanobis,1.3109640287769784,0
4.png,dos quais acucares joista sokeretta deloscualesazucares dont sucres waarvan suikers,0.12,0,2248.0,109.5,0.2747,mahalanobis,1.3109640287769784,0
4.png,sugars,0.12,0,3947.0,77.0,1.6135,mahalanobis,1.3109640287769784,1
4.png,protein,0.12,0,355.0,60.5,1.5019,mahalanobis,1.3109640287769784,1
4.png,proteines,0.12,0,792.0,60.0,1.1959,mahalanobis,1.3109640287769784,0
4.png,proteins,0.12,0,1623.5,54.0,0.776,mahalanobis,1.3109640287769784,0
4.png,protein,0.12,0,1195.0,54.0,0.9762,mahalanobis,1.3109640287769784,0
4.png,protein,0.12,0,2143.0,47.5,0.7601,mahalanobis,1.3109640287769784,0
4.png,proteines,0.12,0,2537.0,42.5,0.8931,mahalanobis,1.3109640287769784,0
4.png,protein,0.12,0,3043.0,34.5,1.185,mahalanobis,1.3109640287769784,0
4.png,protein,0.12,0,3530.5,25.5,1.5272,mahalanobis,1.3109640287769784,1
4.png,protein,0.12,0,4034.5,17.0,1.9012,mahalanobis,1.3109640287769784,1
4.png,salt,0.12,0,838.5,0.0,1.5164,mahalanobis,1.3109640287769784,1
4.png,salt,0.12,0,391.5,-2.0,1.7794,mahalanobis,1.3109640287769784,1
4.png,salt,0.12,0,1220.5,-4.5,1.3752,mahalanobis,1.3109640287769784,1
4.png,salt,0.12,0,1699.0,-6.5,1.2541,mahalanobis,1.3109640287769784,0
4.png,salt,0.12,0,2202.5,-10.5,1.2648,mahalanobis,1.3109640287769784,0
